"phase","table","row_count","size_mb","partition_column","partition_type","interval","rationale","dataareaid_distinct"
"0","dirorganizationbase","191076","79.62","","NONE","","small table (191076 rows / 79.62 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirorganization","190870","81.24","","NONE","","small table (190870 rows / 81.24 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionattributevalueset","141764","50.48","","NONE","","small table (141764 rows / 50.48 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","numbersequencetable","37505","35.41","","NONE","","small table (37505 rows / 35.41 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirdunsnumber","24639","7.45","","NONE","","small table (24639 rows / 7.45 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","sysuserinfo","15090","7.18","","NONE","","small table (15090 rows / 7.18 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmemployment","14426","9.20","","NONE","","small table (14426 rows / 9.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirpersonname","12917","7.52","","NONE","","small table (12917 rows / 7.52 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirperson","12777","7.80","","NONE","","small table (12777 rows / 7.80 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmworkertitle","12740","7.23","","NONE","","small table (12740 rows / 7.23 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmworker","12651","6.94","","NONE","","small table (12651 rows / 6.94 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","workcalendardate","5879","2.07","","NONE","","small table (5879 rows / 2.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","unitofmeasureconversion","5823","3.48","","NONE","","small table (5823 rows / 3.48 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","workcalendardateline","4208","2.91","","NONE","","small table (4208 rows / 2.91 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionhierarchylevel","689","0.45","","NONE","","small table (689 rows / 0.45 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmpositiondetail","620","0.45","","NONE","","small table (620 rows / 0.45 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmpositionworkerassignment","611","0.52","","NONE","","small table (611 rows / 0.52 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmpositionhierarchy","603","0.45","","NONE","","small table (603 rows / 0.45 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmposition","578","0.40","","NONE","","small table (578 rows / 0.40 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","logisticslocationext","549","0.33","","NONE","","small table (549 rows / 0.33 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionhierarchy","341","0.32","","NONE","","small table (341 rows / 0.32 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","logisticsaddresscountryregion","253","0.27","","NONE","","small table (253 rows / 0.27 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","ominternalorganization","206","0.20","","NONE","","small table (206 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","omoperatingunit","162","0.20","","NONE","","small table (162 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","currency","155","0.26","","NONE","","small table (155 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","companyinfo","74","0.20","","NONE","","small table (74 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmpersondetails","64","0.21","","NONE","","small table (64 rows / 0.21 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionattribute","54","0.20","","NONE","","small table (54 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmjobdetail","47","0.20","","NONE","","small table (47 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","unitofmeasure","34","0.20","","NONE","","small table (34 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","logisticslocationrole","31","0.20","","NONE","","small table (31 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmjob","22","0.07","","NONE","","small table (22 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmtitle","21","0.07","","NONE","","small table (21 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","workcalendartable","12","0.07","","NONE","","small table (12 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirnameaffix","10","0.07","","NONE","","small table (10 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirnamesequence","9","0.07","","NONE","","small table (9 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionattributedircategory","9","0.07","","NONE","","small table (9 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","omteammembershipcriterion","8","0.07","","NONE","","small table (8 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","omteam","7","0.07","","NONE","","small table (7 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionhierarchyintegration","4","0.07","","NONE","","small table (4 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmpositionhierarchytype","2","0.07","","NONE","","small table (2 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","systemparameters","1","0.07","","NONE","","small table (1 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmreasoncode","1","0.07","","NONE","","small table (1 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionparameters","1","0.07","","NONE","","small table (1 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributecustgroup","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributefinancialtag","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributecusttable","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributehcmworker","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributebankaccounttable","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributehcmjob","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributehcmposition","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributecompanyinfo","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","companynafcode","0","0.00","","NONE","","small table (0 rows / 0.00 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirpartypostaladdressview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","workcalendardayentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","workcalendarentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","workcalendartimeintervalentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","v_dirpartytable","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","v_dirorganization","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","vdefaultdimensionview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","v_dirperson","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributevendtable","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","hcmworkerdetailsview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributeretailchannel","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributevendgroup","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensioncombinationentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirpartylocationrolesview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirpartynameprimaryaddressview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionsetentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirpartybaseentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributemainaccount","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","logisticspostaladdressview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributeinventitemgroup","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributeinventtable","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","logisticspostaladdressbaseentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributeomdepartment","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributeomvaluestream","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributeombusinessunit","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimattributeomcostcenter","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whsworkline","528223972","445547.46","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","528M rows / 445 GB; D365 WHS module live 2023-02 onward; high CDC churn; composite LIST(dataareaid) → RANGE(date)","1"
"2","inventdim","328020488","142929.09","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + quarterly","328M rows; dimension rows only updated since 2025-06 - short window, quarterly is enough; composite LIST(dataareaid) → RANGE(date)","2"
"2","whsworktable","239883244","136953.52","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","239M rows / 136 GB; companion of whsworkline; same WHS-2023 timeline; composite LIST(dataareaid) → RANGE(date)","1"
"2","usvexclusionprogramcustomerproducts","151290470","75468.07","_HASH_RECID","HASH","8 partitions","151M rows / 75 GB; both audit columns 1900-01-01; no business date - uniform spread by RecId","1"
"2","ecoresvalue","82913822","43290.38","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + quarterly","82M rows / 43 GB; attribute catalog churns post-2023, quarterly windows are fine; composite LIST(dataareaid) → RANGE(date)","1"
"2","ecoresattributevalue","82901292","34353.06","_HASH_RECID","HASH","8 partitions","82M rows / 34 GB; audit columns all 1900-01-01; catalog with single DataAreaId - HASH by RecId","1"
"2","ecorestextvalue","78921867","29782.20","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + quarterly","78M rows / 29 GB; modifieddatetime 2023-02+ usable; composite LIST(dataareaid) → RANGE(date)","1"
"2","whsshipmenttable","65611292","43067.12","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","65M rows / 43 GB; shipment header, WHS-2023+; composite LIST(dataareaid) → RANGE(date)","1"
"2","ecoresinstancevalue","64779387","25902.88","_HASH_RECID","HASH","8 partitions","64M rows / 26 GB; both audit columns 1900-01-01; HASH by RecId","1"
"2","whsloadtable","55828568","47756.11","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","55M rows / 47 GB; WHS-2023+; composite LIST(dataareaid) → RANGE(date)","1"
"2","whsloadline","45912598","58259.95","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","45M rows / 58 GB; WHS-2023+; composite LIST(dataareaid) → RANGE(date)","1"
"2","usvecoresprodpartsattributes","17711428","7253.57","_HASH_RECID","HASH","4 partitions","17M rows; product attribute catalog, no usable dates; HASH by RecId","1"
"2","usvecoresprodtiresattributes","17711428","10830.63","_HASH_RECID","HASH","4 partitions","17M rows; same pattern","1"
"2","usvecoresprodlubeschemicalattributes","17711428","6405.35","_HASH_RECID","HASH","4 partitions","17M rows; same pattern","1"
"2","whsworklinecyclecount","10978940","8709.35","_HASH_RECID","HASH","4 partitions","10M rows; both audit cols 1900-01-01; HASH by RecId","1"
"2","usvecoresprodtiresaccessoriesattributes","8855714","6360.93","_HASH_RECID","HASH","4 partitions","8.8M rows; product attribute catalog","1"
"2","usvecoresprodmicsitemsattributes","8855714","6208.07","_HASH_RECID","HASH","4 partitions","8.8M rows; product attribute catalog","1"
"2","usvecoresprodexhuastattributes","8855714","6078.67","_HASH_RECID","HASH","4 partitions","8.8M rows; product attribute catalog","1"
"2","usvecoresprodtubesattributes","8855714","6868.69","_HASH_RECID","HASH","4 partitions","8.8M rows; product attribute catalog","1"
"2","usvecoresprodtiresattributesext","8855714","5231.87","_HASH_RECID","HASH","4 partitions","8.8M rows; product attribute catalog","1"
"2","custaging","3245691","2748.67","","NONE","","small table (3245691 rows / 2748.67 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresbooleanvalue","2004637","848.59","","NONE","","small table (2004637 rows / 848.59 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvproductfirstreceiptdate","1846616","897.23","","NONE","","small table (1846616 rows / 897.23 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","wmslocation","1640834","704.89","","NONE","","small table (1640834 rows / 704.89 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","pricediscadmtrans","1491095","2160.66","","NONE","","small table (1491095 rows / 2160.66 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresfloatvalue","813898","367.52","","NONE","","small table (813898 rows / 367.52 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","pricedisctable","783176","886.30","","NONE","","small table (783176 rows / 886.30 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresintvalue","655967","290.38","","NONE","","small table (655967 rows / 290.38 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresdatetimevalue","517094","220.09","","NONE","","small table (517094 rows / 220.09 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","custvendexternalitem","475791","288.14","","NONE","","small table (475791 rows / 288.14 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventtablemodule","466053","446.90","","NONE","","small table (466053 rows / 446.90 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","custtable","360986","691.73","","NONE","","small table (360986 rows / 691.73 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventtable","310702","467.95","","NONE","","small table (310702 rows / 467.95 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","mcrholdcodetrans","205735","144.84","","NONE","","small table (205735 rows / 144.84 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresproductcategory","204706","79.41","","NONE","","small table (204706 rows / 79.41 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","custdefaultlocation","171968","63.32","","NONE","","small table (171968 rows / 63.32 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","pdsapprovedvendorlist","169743","83.81","","NONE","","small table (169743 rows / 83.81 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whsecoresproducttransportationcodes","156356","55.37","","NONE","","small table (156356 rows / 55.37 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresproducttranslation","155369","68.96","","NONE","","small table (155369 rows / 68.96 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresdistinctproduct","155369","53.62","","NONE","","small table (155369 rows / 53.62 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresproduct","155369","69.89","","NONE","","small table (155369 rows / 69.89 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventiteminventsetup","155352","148.38","","NONE","","small table (155352 rows / 148.38 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventitempurchsetup","155352","117.11","","NONE","","small table (155352 rows / 117.11 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventitemsalessetup","155352","127.33","","NONE","","small table (155352 rows / 127.33 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","mcrinventtable","155351","71.91","","NONE","","small table (155351 rows / 71.91 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventmodelgroupitem","155351","69.13","","NONE","","small table (155351 rows / 69.13 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventitemgroupitem","155350","58.53","","NONE","","small table (155350 rows / 58.53 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventitembarcode","150686","91.90","","NONE","","small table (150686 rows / 91.90 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresstoragedimensiongroupproduct","144561","51.08","","NONE","","small table (144561 rows / 51.08 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresproductinstancevalue","141950","52.06","","NONE","","small table (141950 rows / 52.06 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvitemchargestable","138199","63.30","","NONE","","small table (138199 rows / 63.30 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","retailcusttable","136065","79.50","","NONE","","small table (136065 rows / 79.50 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whscusttable","128816","63.43","","NONE","","small table (128816 rows / 63.43 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","mcrcusttable","127118","65.11","","NONE","","small table (127118 rows / 65.11 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","custbankaccount","77162","25.39","","NONE","","small table (77162 rows / 25.39 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresproductimage","58665","21.20","","NONE","","small table (58665 rows / 21.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","vendbankaccount","47674","19.35","","NONE","","small table (47674 rows / 19.35 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","vendtable","43768","36.79","","NONE","","small table (43768 rows / 36.79 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","bom","24638","11.67","","NONE","","small table (24638 rows / 11.67 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvwarehousepostaladdress","22100","14.70","","NONE","","small table (22100 rows / 14.70 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whsworkuserwarehouse","15717","8.35","","NONE","","small table (15717 rows / 8.35 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whsworkuser","11578","13.80","","NONE","","small table (11578 rows / 13.80 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whsworker","10783","5.36","","NONE","","small table (10783 rows / 5.36 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvwarehousetransfersupplywarehouse","6192","2.35","","NONE","","small table (6192 rows / 2.35 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","pricediscadmtable","5269","3.78","","NONE","","small table (5269 rows / 3.78 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresproductrelationtable","4702","1.58","","NONE","","small table (4702 rows / 1.58 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","bomversion","4018","3.86","","NONE","","small table (4018 rows / 3.86 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","bomtable","3178","2.44","","NONE","","small table (3178 rows / 2.44 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whslocationprofile","1480","1.26","","NONE","","small table (1480 rows / 1.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventlocation","1050","0.84","","NONE","","small table (1050 rows / 0.84 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","credmancreditlimitcustgroupline","784","0.45","","NONE","","small table (784 rows / 0.45 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","vendgroup","751","0.45","","NONE","","small table (751 rows / 0.45 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","mcrpickingwbwarehouseinfo","525","0.32","","NONE","","small table (525 rows / 0.32 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventlocationlogisticslocationrole","389","0.26","","NONE","","small table (389 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventlocationlogisticslocation","389","0.26","","NONE","","small table (389 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","vendpaymmodetable","306","0.38","","NONE","","small table (306 rows / 0.38 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","credmancreditlimitcustgroup","253","0.33","","NONE","","small table (253 rows / 0.33 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresattribute","153","0.20","","NONE","","small table (153 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","custpaymmodetable","148","0.20","","NONE","","small table (148 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresattributetype","131","0.20","","NONE","","small table (131 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventsite","113","0.20","","NONE","","small table (113 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvproductexclusionbywhs","101","0.26","","NONE","","small table (101 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","custgroup","82","0.21","","NONE","","small table (82 rows / 0.21 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventitemgroup","81","0.20","","NONE","","small table (81 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","custparameters","74","0.26","","NONE","","small table (74 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whsparameters","70","0.20","","NONE","","small table (70 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whsworkclasstable","27","0.20","","NONE","","small table (27 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whsworktemplatetable","25","0.20","","NONE","","small table (25 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","customerinstancevalue","18","0.07","","NONE","","small table (18 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresreferencevalue","11","0.07","","NONE","","small table (11 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvacquisitiontable","8","0.07","","NONE","","small table (8 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","custpaymmodespec","7","0.07","","NONE","","small table (7 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecorescategoryhierarchy","4","0.07","","NONE","","small table (4 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresstoragedimensiongroup","4","0.07","","NONE","","small table (4 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","retailchanneltable","4","0.07","","NONE","","small table (4 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecorescategoryhierarchyrole","3","0.07","","NONE","","small table (3 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","ecoresproductrelationtype","2","0.07","","NONE","","small table (2 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","retailmcrchanneltable","2","0.07","","NONE","","small table (2 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","tmsloadbuildstrategyattribvalueset","1","0.07","","NONE","","small table (1 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvdirpartypostaladdressstagingview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","inventwarehousepostaladdressentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","whsworkusersessionlog","0","0.00","","NONE","","small table (0 rows / 0.00 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","guppricetreeinstancevalue","0","0.00","","NONE","","small table (0 rows / 0.00 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvaiscustomerlookupbyorgnumsegmentstagingview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvlogisticscontactinfostagingview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvdirpartycontactv3entity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvcustomerresponsibilitiesemplentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","retailpricingsimulatorinstancevalue","0","0.00","","NONE","","small table (0 rows / 0.00 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","vendvendorexternalcodeentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvlogisticspostaladdressentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"2","usvlogisticspostaladdressstagingview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
